Taxa,Taxa2
Aca_spic,Acanthophora
Acantha,Acanthastrea_spp
Acr_bra,Acropora_spp
Acr_dig,Acropora_spp
Acr_enc,Acropora_spp
Acr_tab,Acropora_spp
Amp_frag,Amphiroa_spp
Anemone,Anemone
Asp_taxi,Asparagopsis
B_Acr_bra,Acropora_spp
B_Acr_dig,Acropora_spp
B_CCA,CCA
B_Monti,Montipora_spp
B_Poc,Pocillopora_spp
B_Porit,Porites_spp
Bare-Subst,Turf_Bare_Encrusting_Algae
Cage,OUT
Cau_pelt,Caulerpa_spp.
Cau_race,Caulerpa_spp.
Cau_ser,Caulerpa_spp.
CCA,CCA
CCA_rub,Rubble
Chl_fas,Chlorodesmis
Cla_lux,Cladophoropsis
ColSin,Colpomenia
Cyano,Cyanobacteria
D_Acr,Turf_Bare_Encrusting_Algae
D_Acr_sed,Turf_Bare_Encrusting_Algae
D_Poc,Turf_Bare_Encrusting_Algae
D_Poc_sed,Turf_Bare_Encrusting_Algae
Dic_sp,Dictyota_spp.
Enc_cor,Unknown_encrusting_coral
Fugiid,Fungiid
Gal_rug,Galaxaura_spp.
Gal_sp,Galaxaura_spp.
Hal_dead,Halimeda_spp
Hal_disc,Halimeda_spp
Hal_mac,Halimeda_spp
Hal_min,Halimeda_spp
Hal_sp,Halimeda_spp
Hyd_clat,Hydroclathrus
Hyp_spi,Hypnea
Jan_sp,Jania_spp
L_turf,Long_turf
Leptastrea,Leptastrea
Leptoseris,Leptoseris
Lobo_enc,Turf_Bare_Encrusting_Algae
Lobo_fol,Foliose_Lobophora
Lobophyl,Lobophyla
Macro,Unknown_macroalgae
Mic_umb,Microdictyon
Millepora,Millepora
Monti,Montipora_spp
OUT,OUT
Pachyseris,Pachyseris
Pad_bor,Padina
Pavona,Pavona
Peyss_sp,Turf_Bare_Encrusting_Algae
Phyma,Phymastraea
Poc,Pocillopora_spp
Por_irr,Porites_spp
Por_mass,Porites_spp
Por_rus,Porites_spp
Psammo,Psammocora
Sand,Sand
Sar_pac,Sargassum
Sed_turf,Turf_Bare_Encrusting_Algae
Sedturfrub,Rubble
Sna,OUT
Soft_coral,Soft_coral
Spato,Spatoglossum
Sponge,Sponge
Sturf,Turf_Bare_Encrusting_Algae
Sturfrub,Rubble
Tridacna,Tridacna
Tur_orn,Turbinaria
Urchin,OUT
Val_aeg,Valonia_spp.
Ama_rhod,Amansia
B_Acr_tab,Acropora_spp
Cau_pick,Caulerpa_spp.
Dic_bar,Dictyota_spp.
Gel_ace,Gelidiella_spp.
Gel_sp,Gelidiella_spp.
Gib_haw,Gibsmithia
GRA,Grateloupia
Phy_ana,Phyllodictyon
Val_vent,Valonia_spp.
